,cluster_id,cluster_title,verb_list,actual_data_list,member_lemma
45,45,agglutinate,['agglutinate'],[['agglutinate' '1']],['agglutinate']
46,46,worsen,['decline' 'exacerbate' 'worsen' 'aggravate' 'exasperate'],"[['aggravate' '6']
 ['exacerbate' '10']
 ['worsen' '70']]",['aggravate' 'exacerbate' 'worsen']
47,47,combine,"['shamble' 'coalesce' 'sharpen' 'unify' 'integrate' 'amalgamate' 'flux'
 'desegregate' 'mix_in' 'deepen' 'enhance' 'ruffle' 'meld' 'heighten'
 'mix' 'rise' 'shuffle' 'compound' 'raise' 'scuffle' 'commingle'
 'intensify' 'commix' 'combine' 'immix' 'step_up' 'blend' 'mingle'
 'change' 'fuse' 'conflate' 'merge' 'unite' 'escalate' 'aggregate']","[['aggregate' '5']
 ['combine' '213']
 ['compound' '2']
 ['deepen' '1']
 ['fuse' '9']
 ['heighten' '10']
 ['intensify' '6']
 ['merge' '3']
 ['mix' '14']
 ['shuffle' '1']
 ['unify' '1']]","['aggregate' 'combine' 'compound' 'deepen' 'fuse' 'heighten' 'intensify'
 'merge' 'mix' 'shuffle' 'unify']"
48,48,serve,"['dish_out' 'advert' 'go_to' 'do' 'serve_up' 'dish_up' 'service' 'assist'
 'function' 'take_care' 'suffice' 'help_oneself' 'serve' 'facilitate'
 'avail' 'pay_heed' 'process' 'attend_to' 'look' 'attend' 'serve_well'
 'wait_on' 'aid' 'dish' 'swear_out' 'answer' 'see' 'help' 'hang'
 'give_ear']","[['aid' '20']
 ['assist' '39']
 ['attend' '67']
 ['help' '62']
 ['serve' '129']
 ['suffice' '2']]",['aid' 'assist' 'attend' 'help' 'serve' 'suffice']
49,49,aim,"['project' 'get' 'externalise' 'guess' 'approximate' 'purport' 'reckon'
 'figure' 'unionise' 'target' 'protrude' 'dog' 'jut' 'numerate' 'bug_out'
 'form' 'consider' 'face' 'judge' 'purpose' 'adjudicate' 'matter' 'look'
 'sign' 'itemise' 'orient' 'enumerate' 'charge' 'recite' 'pop_out'
 'channelise' 'guide' 'shoot_for' 'aver' 'pop' 'sound_out' 'articulate'
 'sharpen' 'bulge' 'pull' 'wait' 'signal' 'enter' 'coerce' 'picture'
 'await' 'evaluate' 'send' 'betoken' 'bespeak' 'channelize' 'coordinate'
 'orchestrate' 'itemize' 'lead' 'chase' 'cipher' 'seem' 'calculate' 'read'
 'fancy' 'unionize' 'attend' 'devise' 'repoint' 'indicate' 'jut_out'
 'direct' 'labor' 'bet' 'plan' 'label' 'trail' 'signalise' 'estimate'
 'forecast' 'draw_a_bead_on' 'mastermind' 'ram' 'wedge' 'tag' 'dock' 'say'
 'try' 'mark' 'chase_after' 'tell' 'place' 'track' 'beat_back' 'force'
 'train' 'steer' 'contrive' 'organize' 'engineer' 'address' 'stick_out'
 'allege' 'press' 'drive' 'visualise' 'luff' 'go_after' 'machinate' 'head'
 'image' 'gauge' 'pronounce' 'front' 'librate' 'come_out' 'weigh'
 'organise' 'tail' 'account' 'depend' 'number' 'squeeze' 'appear' 'throw'
 'enjoin' 'bob' 'storm' 'show' 'count_on' 'thrust' 'maneuver' 'draw'
 'labour' 'enunciate' 'enounce' 'pouch' 'force_back' 'take_aim' 'pressure'
 'get_up' 'visualize' 'point' 'expect' 'manoeuvre' 'externalize' 'search'
 'envision' 'give_chase' 'run' 'signalize' 'cypher' 'take_care' 'start'
 'aim' 'bulge_out' 'take' 'pass_judgment' 'cast' 'propose' 'conduct'
 'push' 'count' 'design' 'designate' 'manoeuver' 'level' 'guide_on'
 'work_out' 'impel' 'push_back' 'motor' 'hale' 'pass' 'repel' 'state'
 'tug' 'prepare' 'aspire' 'ride' 'repulse' 'order' 'compute' 'suppose'
 'see' 'send_off' 'taper']","[['aim' '798']
 ['aspire' '1']
 ['calculate' '205']
 ['compute' '56']
 ['count' '60']
 ['depend' '148']
 ['direct' '88']
 ['drive' '110']
 ['engineer' '9']
 ['enumerate' '2']
 ['estimate' '544']
 ['figure' '3']
 ['force' '7']
 ['gauge' '3']
 ['guide' '92']
 ['image' '78']
 ['judge' '9']
 ['label' '25']
 ['look' '30']
 ['matter' '6']
 ['organize' '5']
 ['point' '9']
 ['project' '8']
 ['pronounce' '31']
 ['protrude' '2']
 ['say' '9']
 ['seem' '139']
 ['signal' '39']
 ['tag' '5']
 ['tail' '2']
 ['taper' '3']
 ['target' '281']
 ['visualize' '3']
 ['weigh' '12']]","['aim' 'aspire' 'calculate' 'compute' 'count' 'depend' 'direct' 'drive'
 'engineer' 'enumerate' 'estimate' 'figure' 'force' 'gauge' 'guide'
 'image' 'judge' 'label' 'look' 'matter' 'organize' 'point' 'project'
 'pronounce' 'protrude' 'say' 'seem' 'signal' 'tag' 'tail' 'taper'
 'target' 'visualize' 'weigh']"
50,50,alarm,"['appal' 'scandalise' 'alert' 'alarm' 'shock' 'outrage' 'scandalize'
 'dismay' 'offend' 'appall' 'horrify']","[['alarm' '8']
 ['alert' '3']
 ['appal' '1']]",['alarm' 'alert' 'appal']
51,51,facilitate,"['unbosom' 'quench' 'comfort' 'palliate' 'free' 'excuse' 'allay' 'remedy'
 'take_over' 'salvage' 'let_off' 'facilitate' 'slake' 'assuage' 'exempt'
 'still' 'relieve' 'save' 'salve' 'lighten' 'ease' 'alleviate' 'help']","[['allay' '1']
 ['ease' '8']
 ['facilitate' '33']
 ['relieve' '5']]",['allay' 'ease' 'facilitate' 'relieve']
52,52,allege,['say' 'allege' 'aver'],[['allege' '1']],['allege']
53,53,alleviate,['assuage' 'facilitate' 'alleviate' 'palliate' 'ease' 'relieve'],[['alleviate' '7']],['alleviate']
54,54,allocate,['apportion' 'allocate'],[['allocate' '31']],['allocate']
55,55,ally,['ally'],[['ally' '2']],['ally']
56,56,modify,"['merchandise' 'transport' 'trade' 'transmit' 'switch' 'reposition'
 'commute' 'tilt' 'wobble' 'neuter' 'spay' 'convince' 'budge' 'reassign'
 'stir' 'deepen' 'flip-flop' 'lurch' 'alternate' 'channelize' 'remove'
 'modify' 'trade_in' 'deal' 'transfer' 'transplant' 'tack' 'dislodge'
 'sell' 'agitate' 'careen' 'castrate' 'shift' 'graft' 'exchange'
 'interpolate' 'convert' 'channel' 'transpose' 'swap' 'throw' 'win_over'
 'interchange' 'change' 'switch_over' 'vary' 'pitch' 'channelise'
 'falsify' 'swop' 'flip' 'qualify' 'alter' 'change_over']","[['alter' '75']
 ['change' '87']
 ['convert' '68']
 ['convince' '1']
 ['modify' '201']
 ['shift' '14']
 ['switch' '37']
 ['trade' '9']
 ['transfer' '31']
 ['transplant' '11']]","['alter' 'change' 'convert' 'convince' 'modify' 'shift' 'switch' 'trade'
 'transfer' 'transplant']"
57,57,understudy,"['switch' 'jump_off' 'parachute' 'skip' 'skip_over' 'flip-flop' 'leap'
 'climb_up' 'pass_over' 'alternate' 'stick_out' 'decamp' 'cut' 'start'
 'bound_off' 'stand_out' 'rise' 'bound' 'vamoose' 'take_turns' 'tack'
 'skim' 'leap_out' 'hop-skip' 'jumpstart' 'hop' 'understudy' 'startle'
 'skitter' 'chute' 'spring' 'interchange' 'jump' 'jump_out' 'flip'
 'derail' 'jump-start']","[['alternate' '3']
 ['jump' '1']
 ['skip' '2']
 ['understudy' '4']]",['alternate' 'jump' 'skip' 'understudy']
58,58,improve,"['amend' 'remediate' 'repair' 'rectify' 'ameliorate' 'improve' 'remedy'
 'better' 'meliorate']","[['ameliorate' '8']
 ['amend' '7']
 ['improve' '447']
 ['remediate' '3']]",['ameliorate' 'amend' 'improve' 'remediate']
59,59,come,"['deign' 'total' 'get' 'do' 'issue_forth' 'come_in' 'go_down' 'follow'
 'come_up' 'condescend' 'make_out' 'numerate' 'lessen' 'derive' 'fall'
 'decrease' 'arrive' 'devolve' 'shine' 'flow' 'get_along' 'keep_down'
 'list' 'hail' 'return' 'come' 'diminish' 'settle' 'count' 'fall_down'
 'herald' 'enumerate' 'number' 'acclaim' 'strike' 'pass' 'add_up' 'occur'
 'light' 'fare' 'amount' 'descend' 'come_down' 'accrue' 'hang'
 'precipitate']","[['amount' '8']
 ['come' '49']
 ['descend' '9']
 ['fall' '31']
 ['hail' '1']
 ['number' '2']
 ['precipitate' '5']]",['amount' 'come' 'descend' 'fall' 'hail' 'number' 'precipitate']
60,60,amplify,"['amplify' 'magnify' 'blow_up' 'hyperbolize' 'overdo' 'enlarge'
 'overstate' 'exaggerate' 'overdraw' 'inflate' 'expand' 'hyperbolise']","[['amplify' '21']
 ['exaggerate' '1']
 ['magnify' '1']]",['amplify' 'exaggerate' 'magnify']
61,61,test,"['try' 'test' 'psychoanalyse' 'examine' 'contemplate' 'psychoanalyze'
 'probe' 'dig_into' 'quiz' 'poke_into' 'consider' 'analyse' 'take'
 'canvas' 'take_apart' 'study' 'read' 'analyze' 'hit_the_books' 'meditate'
 'essay' 'canvass' 'screen' 'try_out' 'dissect' 'prove' 'break_down' 'see'
 'learn']","[['analyse' '166']
 ['analyze' '572']
 ['dissect' '4']
 ['examine' '358']
 ['probe' '7']
 ['study' '602']
 ['test' '969']]",['analyse' 'analyze' 'dissect' 'examine' 'probe' 'study' 'test']
62,62,anchor,['anchor' 'ground' 'cast_anchor' 'drop_anchor'],[['anchor' '10']],['anchor']
63,63,ankylose,['ankylose' 'ancylose'],[['ankylose' '2']],['ankylose']
64,64,annotate,['gloss' 'annotate' 'comment' 'footnote'],[['annotate' '2']],['annotate']
65,65,declare,"['declare' 'hold' 'hail' 'acclaim' 'foretell' 'refer' 'denote' 'adjudge'
 'announce' 'harbinger' 'herald' 'annunciate']","[['announce' '6']
 ['declare' '44']
 ['denote' '3']
 ['herald' '2']]",['announce' 'declare' 'denote' 'herald']
66,66,respond,['do' 'respond' 'answer' 'suffice' 'serve' 'resolve' 'reply' 'react'],"[['answer' '26']
 ['respond' '166']]",['answer' 'respond']
67,67,promise,"['promise' 'blazon_out' 'foretell' 'anticipate' 'expect' 'foreknow'
 'scream' 'telephone' 'envision' 'forestall' 'hollo' 'holler' 'address'
 'send_for' 'bid' 'counter' 'call_out' 'forebode' 'visit' 'look_for'
 'ring' 'cry' 'foresee' 'shout' 'call_off' 'name' 'phone' 'weep' 'predict'
 'outcry' 'exclaim' 'look_to' 'assure' 'yell' 'call_up' 'squall' 'previse'
 'call' 'call_in' 'prognosticate' 'shout_out' 'cry_out']","[['anticipate' '24']
 ['call' '81']
 ['counter' '2']
 ['cry' '1']
 ['foresee' '1']
 ['promise' '86']
 ['telephone' '1']]",['anticipate' 'call' 'counter' 'cry' 'foresee' 'promise' 'telephone']
68,68,appear,['appear' 'come_along' 'look' 'come_out' 'seem'],[['appear' '226']],['appear']
69,69,use,"['domiciliate' 'reside' 'affiance' 'chit-chat' 'put_away' 'domicile'
 'carry_out' 'use' 'occupy' 'enforce' 'repose' 'pursue' 'go_for' 'lease'
 'mesh' 'go_through' 'expend' 'wage' 'hold' 'concern' 'inflict' 'call'
 'inspect' 'practice' 'bring_down' 'chatter' 'lend_oneself' 'absorb'
 'fill' 'quest_after' 'impose' 'chat' 'shack' 'engross' 'interlock'
 'lock_in' 'shut_up' 'utilise' 'act_on' 'habituate' 'claver' 'confab'
 'busy' 'care' 'plight' 'follow_through' 'lock' 'charter' 'travel_to'
 'lock_away' 'chitchat' 'give' 'chew_the_fat' 'prosecute' 'shut_away'
 'implement' 'confabulate' 'go_after' 'rent' 'visit' 'rest' 'put_through'
 'put_on' 'follow_out' 'utilize' 'hire' 'enlist' 'engage' 'call_in' 'vex'
 'lodge_in' 'interest' 'apply' 'follow' 'levy' 'jaw' 'operate' 'betroth'
 'employ' 'take' 'follow_up' 'follow_up_on' 'interlace' 'natter' 'worry'
 'invade' 'quest_for' 'shoot_the_breeze' 'lock_up' 'gossip' 'see'
 'chaffer' 'use_up']","[['apply' '189']
 ['employ' '61']
 ['enforce' '3']
 ['engage' '4']
 ['implement' '104']
 ['impose' '14']
 ['lock' '5']
 ['occupy' '3']
 ['pursue' '7']
 ['reside' '28']
 ['use' '3732']
 ['utilise' '7']
 ['utilize' '82']
 ['visit' '47']
 ['worry' '1']]","['apply' 'employ' 'enforce' 'engage' 'implement' 'impose' 'lock' 'occupy'
 'pursue' 'reside' 'use' 'utilise' 'utilize' 'visit' 'worry']"
70,70,evaluate,"['quantify' 'measure' 'tax' 'prise' 'evaluate' 'survey' 'mensurate'
 'esteem' 'appreciate' 'pass_judgment' 'treasure' 'judge' 'measure_out'
 'prize' 'appraise' 'respect' 'value' 'assess' 'valuate' 'rate']","[['appraise' '4']
 ['assess' '1098']
 ['evaluate' '1268']
 ['measure' '710']
 ['quantify' '96']
 ['value' '1']]",['appraise' 'assess' 'evaluate' 'measure' 'quantify' 'value']
71,71,appreciate,"['treasure' 'take_account' 'apprize' 'revalue' 'appreciate' 'value'
 'prize' 'apprise']",[['appreciate' '6']],['appreciate']
72,72,approach,"['come_near' 'near' 'approach' 'go_about' 'draw_close' 'go_up' 'border_on'
 'set_about' 'draw_near' 'come_on']","[['approach' '36']
 ['near' '1']]",['approach' 'near']
73,73,approve,['okay' 'sanction' 'approve' 'O.K.'],[['approve' '258']],['approve']
74,74,approximate,['estimate' 'judge' 'approximate' 'guess' 'gauge' 'come_close'],[['approximate' '5']],['approximate']
75,75,archive,['archive' 'file_away'],[['archive' '3']],['archive']
76,76,surround,"['surround' 'shinny' 'manage' 'argue' 'scramble' 'make_do' 'border'
 'environ' 'besiege' 'repugn' 'make_out' 'fence_in' 'postulate'
 'circumvent' 'get_by' 'clamber' 'contend' 'grapple' 'skin' 'struggle'
 'deal' 'smother' 'reason' 'contest' 'fence' 'indicate' 'ring' 'compete'
 'hem_in' 'debate' 'sputter' 'shin' 'cope' 'vie' 'beleaguer' 'skirt'
 'palisade' 'fight' 'wall']","[['argue' '18']
 ['contend' '2']
 ['cope' '2']
 ['fence' '1']
 ['struggle' '5']
 ['surround' '21']]",['argue' 'contend' 'cope' 'fence' 'struggle' 'surround']
77,77,develop,"['explicate' 'take_aim' 'get_up' 'get' 'check' 'climb' 'cultivate' 'coat'
 'produce' 'come_up' 'rear' 'condition' 'wax' 'bob_up' 'farm' 'ascend'
 'train' 'break' 'modernise' 'lift' 'climb_up' 'uprise' 'heighten' 'start'
 'evolve' 'show_up' 'aim' 'move_up' 'rise' 'surface' 'make_grow' 'acquire'
 'raise' 'civilise' 'coach' 'originate' 'civilize' 'take' 'initiate'
 'arise' 'come_out' 'educate' 'formulate' 'spring_up' 'modernize' 'direct'
 'develop' 'go_up' 'grow' 'rebel' 'germinate' 'turn_up' 'mount' 'rise_up'
 'rail' 'groom' 'school' 'stand_up' 'turn' 'build_up' 'prepare' 'maturate'
 'jump' 'resurrect' 'turn_out' 'trail' 'discipline' 'prove' 'mature'
 'recrudesce' 'come_on']","[['arise' '47']
 ['develop' '1430']
 ['educate' '9']
 ['evolve' '66']
 ['grow' '72']
 ['originate' '16']
 ['rise' '69']
 ['surface' '2']
 ['train' '40']]","['arise' 'develop' 'educate' 'evolve' 'grow' 'originate' 'rise' 'surface'
 'train']"
78,78,arm,['build_up' 'gird' 'arm' 'fortify'],[['arm' '13']],['arm']
79,79,elicit,"['get' 'stir_up' 'beset' 'chivvy' 'cause' 'shake' 'kindle' 'set_up'
 'upgrade' 'bring_up' 'draw_out' 'touch' 'call_forth' 'erect' 'fire'
 'kick_up' 'awake' 'come_alive' 'parent' 'inflame' 'awaken' 'conjure'
 'hassle' 'kick_upstairs' 'produce' 'pull' 'harass' 'stir' 'plague'
 'molest' 'heighten' 'distil' 'provoke' 'hasten' 'rise' 'paint_a_picture'
 'fire_up' 'agitate' 'press_out' 'evoke' 'energize' 'extract' 'sex'
 'rise_up' 'wake' 'call_down' 'leaven' 'prove' 'nurture' 'excerpt'
 'chevvy' 'suggest' 'upraise' 'harry' 'budge' 'farm' 'put_forward'
 'stimulate' 'lift' 'advance' 'enkindle' 'raise' 'conjure_up' 'appeal'
 'distill' 'waken' 'shift' 'wind_up' 'take_out' 'heat' 'chivy' 'chevy'
 'grow' 'elicit' 'recruit' 'pull_up' 'turn_on' 'resurrect' 'express'
 'elevate' 'rouse' 'educe' 'rush' 'arouse' 'induce' 'energise' 'get_up'
 'put_up' 'rear' 'levy' 'wake_up' 'perk_up' 'enhance' 'brace' 'make'
 'have' 'shake_up' 'ignite' 'pull_out' 'promote' 'invoke' 'excite']","[['arouse' '1']
 ['awaken' '1']
 ['elicit' '397']
 ['energize' '2']
 ['evoke' '5']
 ['extract' '81']
 ['invoke' '3']
 ['provoke' '16']
 ['raise' '239']
 ['rear' '7']
 ['stimulate' '127']
 ['stir' '2']
 ['wake' '3']]","['arouse' 'awaken' 'elicit' 'energize' 'evoke' 'extract' 'invoke'
 'provoke' 'raise' 'rear' 'stimulate' 'stir' 'wake']"
80,80,do,"['arrange' 'decorate' 'tog' 'do' 'put' 'stage' 'coif' 'manage' 'apply'
 'line_up' 'raiment' 'garnish' 'cut_back' 'apparel' 'make_out' 'crop'
 'clip' 'use' 'cause' 'wield' 'trim' 'suffice' 'drill' 'prune' 'serve'
 'act' 'get_along' 'exercise' 'set_up' 'behave' 'come' 'curry' 'preen'
 'format' 'perform' 'make' 'dress' 'garb' 'commit' 'snip' 'enclothe'
 'dress_out' 'work_out' 'dress_up' 'groom' 'habilitate' 'execute' 'primp'
 'maintain' 'lop' 'set' 'coiffe' 'answer' 'clothe' 'garment' 'get_dressed'
 'rehearse' 'fit_out' 'order' 'coiffure' 'fare' 'practise' 'plume'
 'fix_up' 'exert' 'work' 'practice']","[['arrange' '1']
 ['do' '95']
 ['dress' '1']
 ['exercise' '3']
 ['exert' '3']
 ['practice' '9']
 ['practise' '1']]",['arrange' 'do' 'dress' 'exercise' 'exert' 'practice' 'practise']
81,81,arrive,['come' 'go_far' 'arrive' 'get_in' 'get' 'make_it'],[['arrive' '2']],['arrive']
82,82,ascend,['rise' 'climb_up' 'come_up' 'go_up' 'ascend' 'move_up' 'uprise'],[['ascend' '6']],['ascend']
83,83,observe,"['surmount' 'restrain' 'vouch' 'find_out' 'go_over' 'watch' 'score'
 'shape' 'economize' 'pull_wires' 'stipulate' 'fake' 'watch_out' 'harbor'
 'bind' 'preserve' 'oppose' 'commemorate' 'mold' 'bring_through'
 'hold_open' 'square_up' 'subdue' 'warrant' 'guard' 'bottle_up'
 'underwrite' 'uphold' 'make_unnecessary' 'wangle' 'keep' 'dispose'
 'get_over' 'stigmatise' 'look_into' 'characterise' 'adjudge' 'stamp_down'
 'give' 'dominate' 'nurse' 'wield' 'insure' 'retain' 'get_the_hang'
 'retard' 'deluge' 'keep_in_line' 'stone' 'assure' 'detain' 'sustain'
 'declare' 'subjugate' 'fix' 'get_the_best' 'desegregate' 'incorporate'
 'overhaul' 'prise' 'operate' 'differentiate' 'keep_down' 'defend' 'cook'
 'stay_fresh' 'encumber' 'keep_open' 'set' '""make_up_ones_mind""'
 'watch_over' 'observe' 'resist' 'overwhelm' 'fit' 'justify' 'determine'
 'go_on' 'conserve' 'limit' 'overpower' 'catch_up_with' 'stop'
 'correspond' 'sweep_over' 'redeem' 'see_to_it' 'economise' 'assert'
 'brand' 'pull_through' 'chink' 'carry_on' 'honour' 'scar' 'curtail'
 'qualify' 'support' 'lay_aside' 'catch' 'tame' 'circumscribe' 'obtain'
 'curb' 'square_off' 'chequer' 'prevent' 'trammel' 'take_down' 'baffle'
 'get_the_better_of' 'value' 'tag' 'hold_up' 'chasten' 'mark' 'check'
 'grade' 'have_the_best' 'break' 'esteem' 'notice' 'act_upon' 'relieve'
 'crush' 'check_off' 'regulate' 'withstand' 'keep_an_eye_on' 'hold_on'
 'strike_off' 'specify' 'falsify' 'exert' 'tally' 'play_off'
 'misrepresent' 'mark_off' 'cut_back' 'comment' 'comprise' 'ensure' 'take'
 'agree' 'obligate' 'make' 'salve' 'view_as' 'moderate' 'gibe' 'match'
 'keep_back' 'prize' 'view' 'strike_out' 'maintain' 'cross_off' 'inhibit'
 'go_along' 'stigmatize' 'arrest' 'check_out' 'defeat' 'integrate' 'tick'
 'throttle' 'overtake' 'seduce' 'point_out' 'harbour' 'fudge' 'mention'
 'flood_out' 'modify' 'deem' 'go_for' 'carry_through' 'take_for' 'oblige'
 'rig' 'hold' 'control' 'govern' 'respect' 'delay' 'take_in' 'bound'
 'detect' 'tick_off' 'hold_out' 'prevail' 'look_on' 'cross_out'
 'overmaster' 'regularize' 'charm' 'repress' 'distinguish' 'write'
 'manipulate' 'stand_firm' 'tell' 'cumber' 'discover' 'pock' 'reserve'
 'check_into' 'subordinate' 'keep_on' 'salvage' 'characterize'
 'regularise' 'accommodate' 'save' 'honor' 'constrain' 'throw' 'suss_out'
 'modulate' 'pit' 'apply' 'remark' 'confine' 'stay' 'master' 'define'
 'checker' 'have_got' 'concur' 'pass' 'suppress' 'see' 'restrict'
 'hold_back' 'punctuate' 'acknowledge' 'take_note' 'turn_back' 'defy'
 'overcome' 'mix' 'submerge' 'deliver' 'verify' 'jibe' 'hold_in'
 'ascertain' 'influence' 'compel' 'contain' 'asseverate' 'denounce'
 'reassure' 'learn' 'work' 'cut_short' 'measure_up' 'take_hold' 'mortify'
 'bear' 'condition' 'halt' 'celebrate' 'check_over' 'find' 'drown'
 'intimidate' 'settle' 'rack_up' 'label' 'tempt' 'discipline' 'undertake'
 'nock' 'promise' 'look_out' 'book' 'concord' 'continue' 'note' 'train'
 'clip' 'spare' 'hit' 'cover' 'keep_up' 'carry' 'check_up_on' 'crack'
 'decide' 'reduce' 'proceed' 'pull_strings' 'whelm' 'save_up' 'quash'
 'follow' 'conquer' 'command' 'guarantee' 'secure' 'entertain' 'have'
 'oppress' 'crucify' 'bear_on' 'order' 'abide_by' 'admit']","[['ascertain' '19']
 ['assure' '1']
 ['check' '10']
 ['condition' '1']
 ['contain' '345']
 ['control' '575']
 ['curb' '17']
 ['curtail' '9']
 ['delay' '193']
 ['determine' '650']
 ['ensure' '66']
 ['guarantee' '2']
 ['hold' '42']
 ['incorporate' '34']
 ['influence' '98']
 ['inhibit' '39']
 ['insure' '7']
 ['integrate' '43']
 ['keep' '48']
 ['limit' '115']
 ['maintain' '209']
 ['manipulate' '2']
 ['mark' '51']
 ['master' '2']
 ['note' '137']
 ['notice' '1']
 ['oblige' '1']
 ['observe' '1173']
 ['overcome' '50']
 ['overtake' '2']
 ['overwhelm' '6']
 ['pit' '2']
 ['preserve' '41']
 ['qualify' '9']
 ['reassure' '14']
 ['regulate' '21']
 ['respect' '3']
 ['restrain' '1']
 ['restrict' '63']
 ['retain' '53']
 ['save' '24']
 ['scar' '3']
 ['score' '8']
 ['stigmatise' '1']
 ['stigmatize' '2']
 ['subdue' '3']
 ['suppress' '41']
 ['warrant' '84']
 ['watch' '3']
 ['withstand' '3']]","['ascertain' 'assure' 'check' 'condition' 'contain' 'control' 'curb'
 'curtail' 'delay' 'determine' 'ensure' 'guarantee' 'hold' 'incorporate'
 'influence' 'inhibit' 'insure' 'integrate' 'keep' 'limit' 'maintain'
 'manipulate' 'mark' 'master' 'note' 'notice' 'oblige' 'observe'
 'overcome' 'overtake' 'overwhelm' 'pit' 'preserve' 'qualify' 'reassure'
 'regulate' 'respect' 'restrain' 'restrict' 'retain' 'save' 'scar' 'score'
 'stigmatise' 'stigmatize' 'subdue' 'suppress' 'warrant' 'watch'
 'withstand']"
84,84,indicate,"['think_of' 'put' 'argue' 'point' 'fate' 'depute' 'suggest' 'set_apart'
 'signal' 'stand_for' 'mean' 'intend' 'denominate' 'ascribe' 'allot'
 'assign' 'betoken' 'bespeak' 'think' 'imply' 'impute' 'doom' 'portion'
 'indicate' 'destine' 'designate' 'delegate' 'have_in_mind' 'show'
 'specify' 'signify' 'arrogate' 'attribute' 'entail']","[['ascribe' '6']
 ['assign' '189']
 ['attribute' '50']
 ['designate' '16']
 ['impute' '3']
 ['indicate' '586']
 ['intend' '18']
 ['mean' '462']
 ['signify' '1']]","['ascribe' 'assign' 'attribute' 'designate' 'impute' 'indicate' 'intend'
 'mean' 'signify']"
85,85,need,"['require' 'expect' 'necessitate' 'command' 'postulate' 'desire' 'enquire'
 'contend' 'involve' 'affect' 'imply' 'take' 'posit' 'exact' 'want' 'ask'
 'need' 'regard' 'call_for' 'inquire' 'demand']","[['ask' '47']
 ['demand' '9']
 ['involve' '239']
 ['necessitate' '9']
 ['need' '868']
 ['postulate' '5']
 ['require' '865']
 ['want' '4']]","['ask' 'demand' 'involve' 'necessitate' 'need' 'postulate' 'require'
 'want']"
86,86,aspirate,['aspirate' 'suck_out' 'draw_out'],[['aspirate' '1']],['aspirate']
87,87,assay,"['assay' 'try' 'contract' 'take_on' 'look_for' 'essay' 'guarantee'
 'tackle' 'undertake' 'attempt' 'take_in_charge' 'search' 'set_about'
 'seek']","[['assay' '248']
 ['attempt' '8']
 ['seek' '118']
 ['undertake' '48']]",['assay' 'attempt' 'seek' 'undertake']
88,88,assemble,"['set_up' 'tack_together' 'assemble' 'put_together' 'meet' 'gather'
 'forgather' 'foregather' 'piece' 'get_together' 'tack']",[['assemble' '2']],['assemble']
89,89,attach,['bond' 'attach' 'bind' 'impound' 'seize' 'sequester' 'confiscate' 'tie'],[['attach' '11']],['attach']
90,90,attenuate,['rarefy' 'attenuate'],[['attenuate' '154']],['attenuate']
91,91,show,"['try' 'register' 'exhibit' 'point' 'evince' 'test' 'attest'
 'take_the_stand' 'tell' 'examine' 'strain' 'plump_for' 'picture'
 'display' 'sample' 'manifest' 'assay' 'try_on' 'show_up' 'usher'
 'bear_witness' 'rise' 'hear' 'back' 'raise' 'evidence' 'march' 'parade'
 'demo' 'plunk_for' 'depict' 'present' 'judge' 'read' 'shew' 'expose'
 'indicate' 'endorse' 'adjudicate' 'certify' 'licence' 'license' 'turn_up'
 'designate' 'attempt' 'record' 'establish' 'demonstrate' 'essay' 'seek'
 'testify' 'taste' 'render' 'stress' 'second' 'show' 'leaven' 'turn_out'
 'try_out' 'express' 'prove' 'support' 'indorse']","[['attest' '2']
 ['certify' '8']
 ['demonstrate' '929']
 ['endorse' '8']
 ['evidence' '28']
 ['exhibit' '168']
 ['licence' '2']
 ['license' '67']
 ['manifest' '19']
 ['prove' '152']
 ['show' '2186']
 ['try' '5']]","['attest' 'certify' 'demonstrate' 'endorse' 'evidence' 'exhibit' 'licence'
 'license' 'manifest' 'prove' 'show' 'try']"
92,92,attract,['draw' 'attract' 'pull_in' 'pull' 'appeal' 'draw_in'],[['attract' '7']],['attract']
93,93,augment,['augment'],[['augment' '21']],['augment']
