,Lemmatized Verb,Frequency,Synset,Status
730,deworming,1,,invalid
731,deÃÂÂidentified,1,,invalid
732,dghs,1,,invalid
733,diabetes,3,,invalid
734,diagnose,394,['diagnose' 'name'],valid
735,diagnosistesting,2,,invalid
736,diagnozed,1,,invalid
737,dialyze,2,['dialyze' 'dialyse'],valid
738,diamed,3,,invalid
739,dichotomise,1,['dichotomise' 'dichotomize'],valid
740,dichotomize,1,['dichotomise' 'dichotomize'],valid
741,dictate,5,['prescribe' 'dictate' 'order'],valid
742,die,262,"['break' 'give_way' 'conk_out' 'pall' 'expire' 'drop_dead' 'pass' 'die'
 'exit' ""cash_in_one's_chips"" 'kick_the_bucket' 'pass_away' 'croak' 'go'
 'choke' 'snuff_it' 'go_bad' 'buy_the_farm' 'conk' 'fail' 'die_out'
 'give_out' 'give-up_the_ghost' 'decease' 'break_down' 'become_flat'
 'perish' 'pop_off']",valid
743,differ,166,['take_issue' 'disagree' 'differ' 'dissent'],valid
744,differences,2,,invalid
745,differentiate,40,"['severalize' 'tell' 'specialise' 'distinguish' 'separate' 'secern'
 'severalise' 'specialize' 'mark' 'differentiate' 'tell_apart' 'speciate'
 'secernate']",valid
746,difficile,2,,invalid
747,difficileÃÂÂ,1,,invalid
748,difficult,3,,invalid
749,diffuse,2,"['propagate' 'interpenetrate' 'pervade' 'circulate' 'circularise' 'spread'
 'pass_around' 'circularize' 'permeate' 'distribute' 'spread_out'
 'diffuse' 'broadcast' 'disseminate' 'penetrate' 'fan_out' 'disperse'
 'imbue' 'riddle']",valid
750,dilute,4,"['stretch' 'thin_out' 'cut' 'debase' 'dilute' 'load' 'reduce' 'adulterate'
 'thin']",valid
751,diminish,69,['diminish' 'decrease' 'belittle' 'lessen' 'fall'],valid
752,dinucleotides,1,,invalid
753,direct,88,"['guide' 'train' 'lead' 'target' 'direct' 'place' 'maneuver' 'head'
 'steer' 'take' 'manoeuver' 'point' 'channelize' 'organise' 'manoeuvre'
 'send' 'channelise' 'engineer' 'mastermind' 'aim' 'address' 'orchestrate'
 'organize' 'take_aim' 'calculate' 'conduct']",valid
754,disadvantage,1,['disadvantage' 'disfavour' 'disfavor'],valid
755,disaggregated,4,,invalid
756,disagree,1,['disagree' 'differ' 'dissent' 'disaccord' 'discord' 'take_issue'],valid
757,disappear,19,['vanish' 'melt' 'go_away' 'disappear' 'evaporate'],valid
758,discard,2,"['throw_away' 'toss_away' 'dispose' 'fling' 'put_away' 'chuck_out'
 'cast_out' 'throw_out' 'toss' 'cast_away' 'discard' 'cast_aside'
 'toss_out']",valid
759,discern,1,"['spot' 'discern' 'pick_out' 'recognise' 'distinguish' 'make_out'
 'tell_apart' 'recognize']",valid
760,discharge,120,"['put_down' 'clear' 'discharge' 'dispatch' 'exculpate' 'go_off' 'unload'
 'complete' 'set_down' 'assoil' 'muster_out' 'exonerate' 'release' 'empty'
 'free' 'drop_off' 'expel' 'eject' 'drop' 'exhaust' 'fire' 'acquit']",valid
761,disclose,20,"['expose' 'break' 'divulge' 'let_on' 'discover' 'reveal' 'bring_out'
 'unwrap' 'disclose' 'give_away' 'let_out']",valid
762,disclosures,96,,invalid
763,discontinue,25,"['give_up' 'break' 'break_off' 'lay_off' 'discontinue' 'stop' 'cease'
 'quit']",valid
764,discount,1,"['discount' 'ignore' 'push_aside' 'brush_off' 'brush_aside' 'dismiss'
 'disregard']",valid
765,discourage,5,['monish' 'deter' 'discourage' 'warn' 'admonish'],valid
766,discover,13,"['break' 'fall_upon' 'discover' 'learn' 'happen_upon' 'strike' 'find_out'
 'describe' 'name' 'distinguish' 'get_word' 'pick_up' 'notice' 'come_upon'
 'disclose' 'let_out' 'chance_upon' 'get_a_line' 'light_upon' 'observe'
 'reveal' 'bring_out' 'get_wind' 'unwrap' 'chance_on' 'give_away' 'expose'
 'key_out' 'attain' 'see' 'divulge' 'let_on' 'hear' 'come_across' 'key'
 'detect' 'find' 'identify']",valid
767,discriminate,5,['discriminate' 'single_out' 'separate' 'know_apart'],valid
768,discuss,75,['discuss' 'discourse' 'talk_over' 'talk_about' 'hash_out'],valid
769,discussionduring,1,,invalid
770,disease,4,,invalid
771,diseased,2,,invalid
772,diseaseÃÂÂmodifying,1,,invalid
773,diseaseÃÂÂrelated,2,,invalid
774,disempowering,1,,invalid
775,disentangle,3,"['extricate' 'comb_out' 'comb' 'straighten_out' 'disinvolve' 'unwind'
 'untangle' 'unsnarl' 'disembroil' 'disencumber' 'disentangle']",valid
776,dismiss,3,"['discount' 'give_notice' 'give_the_axe' 'displace' 'sack' 'force_out'
 'send_away' 'usher_out' 'terminate' 'dissolve' 'brush_off' 'dismiss'
 'can' 'throw_out' 'push_aside' 'brush_aside' 'disregard' 'send_packing'
 'ignore' 'drop' 'give_the_sack' 'fire']",valid
777,disorder,1,"['unhinge' 'disquiet' 'cark' 'disarray' 'distract' 'trouble' 'disorder'
 'perturb']",valid
778,dispel,1,"['drive_away' 'turn_back' 'dispel' 'dissipate' 'disperse' 'break_up'
 'drive_out' 'drive_off' 'run_off' 'scatter' 'chase_away']",valid
779,dispense,3,"['deal_out' 'administer' 'parcel_out' 'shell_out' 'dish_out' 'dole_out'
 'allot' 'dispense' 'distribute' 'deal' 'lot' 'mete_out']",valid
780,disperse,2,"['scatter' 'propagate' 'dissipate' 'break_up' 'dust' 'circulate'
 'circularise' 'spread' 'dispel' 'pass_around' 'dot' 'circularize'
 'distribute' 'spread_out' 'diffuse' 'broadcast' 'sprinkle' 'disseminate'
 'disperse']",valid
781,displace,8,"['move' 'send_away' 'give_notice' 'terminate' 'sack' 'give_the_axe' 'can'
 'displace' 'preempt' 'dismiss' 'give_the_sack' 'fire' 'force_out']",valid
782,display,109,['expose' 'display' 'exhibit'],valid
783,disqualify,1,['indispose' 'disqualify' 'unfit'],valid
784,disrupt,12,['disrupt' 'break_up' 'interrupt' 'cut_off'],valid
785,dissect,4,['take_apart' 'analyze' 'dissect' 'analyse' 'break_down'],valid
786,disseminate,39,"['circulate' 'circularise' 'propagate' 'spread' 'broadcast' 'disseminate'
 'disperse' 'pass_around' 'circularize' 'distribute' 'diffuse']",valid
787,dissipate,1,"['frivol_away' 'fritter' 'fritter_away' 'dispel' 'fool' 'dissipate'
 'shoot' 'disperse' 'break_up' 'spread_out' 'scatter' 'fool_away']",valid
788,distance,18,['outdistance' 'outstrip' 'distance'],valid
789,distil,2,['distill' 'extract' 'distil' 'condense'],valid
790,distinct,2,,invalid
791,distinguish,40,"['discern' 'recognise' 'discover' 'severalise' 'mark' 'describe' 'name'
 'distinguish' 'separate' 'differentiate' 'recognize' 'secernate'
 'severalize' 'spot' 'pick_out' 'secern' 'tell_apart' 'key_out' 'tell'
 'key' 'make_out' 'signalize' 'signalise' 'identify']",valid
792,distribute,43,"['administer' 'hand_out' 'stagger' 'mete_out' 'propagate' 'dish_out'
 'dole_out' 'dispense' 'deal_out' 'parcel_out' 'circulate' 'circularise'
 'spread' 'allot' 'pass_around' 'circularize' 'distribute' 'diffuse'
 'shell_out' 'lot' 'give_out' 'broadcast' 'disseminate' 'disperse'
 'pass_out' 'deal' 'pass_on']",valid
793,disturb,5,"['agitate' 'commove' 'touch' 'stir_up' 'disturb' 'trouble' 'interrupt'
 'raise_up' 'shake_up' 'vex' 'upset']",valid
794,diverge,3,['diverge' 'vary' 'depart' 'deviate'],valid
795,diversify,1,['diversify' 'radiate' 'branch_out' 'broaden'],valid
796,divest,1,['strip' 'divest' 'deprive' 'disinvest' 'undress'],valid
797,divide,67,"['carve_up' 'divide' 'fraction' 'part' 'disunite' 'separate' 'split_up'
 'split' 'dissever']",valid
798,dmid,1,,invalid
799,dna,3,,invalid
800,dnmt3a,1,,invalid
801,dnt,2,,invalid
802,do,95,"['fare' 'coif' 'practise' 'act' 'behave' 'arrange' 'get_along' 'answer'
 'dress' 'suffice' 'cause' 'do' 'make' 'practice' 'perform' 'come'
 'exercise' 'coiffure' 'serve' 'coiffe' 'manage' 'execute' 'make_out'
 'set']",valid
803,document,219,['document'],valid
804,dominate,52,"['command' 'overshadow' 'predominate' 'prevail' 'rule' 'reign' 'master'
 'overtop' 'dominate' 'overlook' 'eclipse']",valid
805,donate,18,['donate'],valid
806,dose,3333,['dose' 'drug'],valid
807,doseaccelerated,2,,invalid
808,doseadjuvanted,1,,invalid
809,dosefunding,1,,invalid
810,double,13,"['double' 'duplicate' 'reduplicate' 'repeat' 'replicate' 'double_over'
 'double_up']",valid
811,doubt,1,['doubt'],valid
812,dovetail,1,['dovetail'],valid
813,download,3,['download'],valid
814,downregulate,1,,invalid
815,downregulated,1,,invalid
816,draft,1,['enlist' 'muster_in' 'outline' 'draft' 'draught' 'blueprint'],valid
817,drain,27,['enfeeble' 'debilitate' 'run_out' 'drain'],valid
818,draw,43,"['reap' 'depict' 'suck' 'soak_up' 'guide' 'drag' 'absorb' 'take_out'
 'string' 'pull' 'describe' 'force' 'pass' 'draw_off' 'delineate'
 'pull_in' 'cast' 'get_out' 'draw_and_quarter' 'sop_up' 'attract'
 'withdraw' 'suck_up' 'draw' 'pull_out' 'pull_back' 'take_in' 'line'
 'disembowel' 'take_up' 'make' 'run' 'quarter' 'trace' 'eviscerate'
 'thread' 'tie' 'get' 'imbibe' 'puff' 'draw_in']",valid
819,dress,1,"['clip' 'dress_out' 'curry' 'groom' 'plume' 'dress_up' 'coif' 'tog'
 'primp' 'arrange' 'prune' 'enclothe' 'fit_out' 'snip' 'garb' 'lop'
 'decorate' 'garnish' 'apparel' 'dress' 'garment' 'cut_back' 'do' 'trim'
 'get_dressed' 'preen' 'coiffure' 'coiffe' 'crop' 'habilitate' 'raiment'
 'clothe' 'set' 'line_up']",valid
820,drift,4,"['tramp' 'ramble' 'be_adrift' 'blow' 'drift' 'wander' 'rove' 'float'
 'freewheel' 'roam' 'cast' 'roll' 'err' 'swan' 'vagabond' 'range' 'stray']",valid
821,drink,11,"['tope' 'drink' 'booze' 'fuddle' 'salute' 'pledge' 'wassail' 'drink_in'
 'imbibe' 'toast']",valid
822,drishti,1,,invalid
823,drive,110,"['drive' 'repulse' 'motor' 'beat_back' 'labour' 'push' 'get' 'repel' 'ram'
 'aim' 'tug' 'push_back' 'labor' 'take' 'force_back' 'force' 'ride']",valid
824,drop,44,"['fell' 'cut_down' 'dangle' 'put_down' 'cast_off' 'pretermit' 'shed'
 'strike_down' 'flatten' 'overlook' 'leave_out' 'drip' 'knock_off'
 'send_away' 'deteriorate' 'swing' 'overleap' 'cast' 'miss' 'expend'
 'dismiss' 'discharge' 'unload' 'devolve' 'set_down' 'shake_off'
 'throw_off' 'throw' 'neglect' 'omit' 'drop_down' 'drop_off' 'throw_away'
 'spend' 'send_packing' 'drop' 'sink' 'dribble' 'degenerate']",valid
825,dry,47,['dry' 'dry_out'],valid
826,ds-1,3,,invalid
827,dtns,4,,invalid
828,dub,4,['knight' 'dub' 'nickname'],valid
829,duplicate,2,['double' 'duplicate' 'reduplicate' 'twin' 'repeat' 'replicate' 'parallel'],valid
830,durable,1,,invalid
831,dvtpe,1,,invalid
832,dwell,23,"['brood' 'dwell' 'lie' 'live' 'harp' 'inhabit' 'lie_in' 'consist'
 'populate']",valid
833,dyslipidemia,4,,invalid
834,dysregulated,11,,invalid
835,e1258d,1,,invalid
836,e484k,14,,invalid
837,ease,8,['comfort' 'facilitate' 'allay' 'alleviate' 'ease' 'relieve' 'still'],valid
838,eat,3,"['eat' 'deplete' 'rust' 'run_through' 'consume' 'feed' 'eat_up' 'eat_on'
 'use_up' 'wipe_out' 'exhaust' 'corrode']",valid
839,eave,1,,invalid
840,eclipse,2,['dominate' 'eclipse' 'occult' 'overshadow'],valid
841,ecog,9,,invalid
842,edge,1,"['butt_against' 'abut' 'butt' 'march' 'inch' 'edge' 'border' 'butt_on'
 'adjoin']",valid
843,educate,9,"['develop' 'school' 'educate' 'civilise' 'train' 'cultivate' 'prepare'
 'civilize']",valid
844,ef,1,,invalid
845,effect,3,['effect' 'effectuate' 'set_up'],valid
846,effective,10,,invalid
847,effectiveÃÂÂunder,1,,invalid
848,effectÃÂÂbased,1,,invalid
849,efficacy,7,,invalid
850,efficient,1,,invalid
851,efs,1,,invalid
852,eg,1,,invalid
853,eggbased,1,,invalid
854,ehcps,1,,invalid
855,ejaculate,4,['blunder_out' 'blurt' 'ejaculate' 'blunder' 'blurt_out'],valid
856,elaborate,4,"['flesh_out' 'refine' 'work_out' 'elaborate' 'expand' 'expatiate' 'rarify'
 'enlarge' 'lucubrate' 'complicate' 'exposit' 'expound' 'dilate']",valid
857,elapse,29,"['go_by' 'slide_by' 'slip_away' 'lapse' 'glide_by' 'slip_by' 'elapse'
 'go_along' 'pass']",valid
858,elbow,1,['elbow'],valid
859,elecsys,1,,invalid
860,electrolyzed,1,,invalid
861,electroporated,1,,invalid
862,elevate,143,"['raise' 'lift' 'advance' 'elevate' 'kick_upstairs' 'get_up' 'upgrade'
 'bring_up' 'promote']",valid
863,elicit,397,"['raise' 'extract' 'evoke' 'arouse' 'draw_out' 'kindle' 'enkindle' 'educe'
 'provoke' 'fire' 'elicit']",valid
864,eligible,1,,invalid
865,eliminate,39,"['winnow_out' 'eliminate' 'carry_off' 'reject' 'rule_out' 'egest'
 'annihilate' 'excrete' 'wipe_out' 'extinguish' 'decimate' 'rid_of'
 'get_rid_of' 'do_away_with' 'eradicate' 'obviate' 'pass']",valid
866,elisa,14,,invalid
867,elisas,26,,invalid
868,elisaÃÂÂbased,1,,invalid
869,elongate,1,['stretch' 'elongate'],valid
870,eluates,1,,invalid
871,elucidate,8,"['crystalize' 'crystalise' 'straighten_out' 'elucidate' 'crystallize'
 'clarify' 'crystallise' 'sort_out' 'enlighten' 'illuminate'
 'shed_light_on' 'clear' 'clear_up']",valid
872,elute,1,['elute'],valid
873,email,6,['email' 'netmail' 'e-mail'],valid
874,embed,1,['engraft' 'embed' 'implant' 'imbed' 'plant'],valid
875,embryonated,2,,invalid
876,emerge,380,['come_forth' 'egress' 'come_out' 'issue' 'go_forth' 'emerge'],valid
877,emphasise,4,"['emphasise' 'underline' 'accent' 'punctuate' 'emphasize' 'stress'
 'underscore' 'accentuate']",valid
878,emphasize,43,"['emphasise' 'underline' 'accent' 'punctuate' 'emphasize' 'stress'
 'underscore' 'accentuate']",valid
879,employ,61,['use' 'hire' 'engage' 'utilize' 'utilise' 'apply' 'employ'],valid
880,empower,1,['gift' 'authorize' 'empower' 'endow' 'authorise' 'invest' 'endue' 'indue'],valid
881,emrs,3,,invalid
882,emulate,2,['emulate'],valid
883,emulsify,1,['emulsify'],valid
884,enable,74,['enable'],valid
885,encapsulate,13,['capsule' 'capsulize' 'capsulise' 'encapsulate'],valid
886,enclose,1,"['close_in' 'enfold' 'stick_in' 'enclose' 'envelop' 'confine' 'inclose'
 'hold_in' 'shut_in' 'enwrap' 'put_in' 'wrap' 'introduce' 'insert']",valid
887,encode,59,['encode'],valid
888,encompass,10,['cover' 'comprehend' 'encompass' 'embrace'],valid
889,encounter,27,"['run_across' 'see' 'meet' 'play' 'come_across' 'encounter' 'receive'
 'happen' 'bump' 'find' 'take_on' 'chance' 'run_into']",valid
890,encourage,51,['boost' 'encourage' 'advance' 'further' 'promote'],valid
891,end,26,['end' 'finish' 'terminate' 'stop' 'cease'],valid
892,endorse,8,"['endorse' 'plump_for' 'second' 'support' 'indorse' 'plunk_for' 'certify'
 'back']",valid
893,endoscopy,1,,invalid
894,endosome,1,,invalid
895,endow,5,['dower' 'gift' 'endow' 'empower' 'invest' 'endue' 'indue'],valid
896,endure,3,"['brave_out' 'suffer' 'tolerate' 'wear' 'live_on' 'weather' 'support'
 'stand' 'last' 'go' 'endure' 'digest' 'prevail' 'survive' 'stomach'
 'brook' 'abide' 'die_hard' 'run' 'brave' 'persist' 'live' 'hold_out'
 'put_up' 'hold_up' 'bear' 'stick_out']",valid
897,energize,2,['arouse' 'stimulate' 'brace' 'energise' 'excite' 'perk_up' 'energize'],valid
898,enforce,3,['enforce' 'impose' 'implement' 'apply'],valid
899,engage,4,"['lock' 'absorb' 'engage' 'hire' 'prosecute' 'charter' 'affiance' 'pursue'
 'plight' 'wage' 'rent' 'engross' 'operate' 'betroth' 'occupy' 'mesh'
 'lease' 'employ' 'enlist' 'take']",valid
900,engineer,9,['engineer' 'mastermind' 'orchestrate' 'organise' 'organize' 'direct'],valid
901,engraft,1,['ingraft' 'engraft' 'embed' 'implant' 'imbed' 'plant' 'graft'],valid
902,engrained,1,,invalid
903,enhance,241,['heighten' 'raise' 'enhance'],valid
904,enlarge,19,"['flesh_out' 'elaborate' 'expand' 'expatiate' 'enlarge' 'blow_up'
 'lucubrate' 'magnify' 'exposit' 'expound' 'dilate']",valid
905,enrich,29,['enrich'],valid
906,enrol,496,['enter' 'enrol' 'inscribe' 'enroll' 'recruit'],valid
907,enroll,6,['enter' 'enrol' 'inscribe' 'enroll' 'recruit'],valid
908,ensue,8,['ensue' 'result'],valid
909,ensure,66,"['guarantee' 'ensure' 'see' 'insure' 'control' 'ascertain' 'see_to_it'
 'check' 'secure' 'assure']",valid
910,entail,8,['imply' 'entail' 'implicate' 'fee-tail' 'mean'],valid
911,enter,30,"['record' 'enter' 'put_down' 'come_in' 'go_in' 'inscribe' 'participate'
 'embark' 'move_into' 'go_into' 'get_in' 'enrol' 'accede' 'get_into'
 'enroll' 'introduce' 'insert' 'figure' 'infix' 'recruit']",valid
912,enterobacteriaceae,1,,invalid
913,enterovirusesrhinoviruses,1,,invalid
914,entitle,4,['gentle' 'ennoble' 'entitle' 'title'],valid
915,enumerate,2,['numerate' 'itemise' 'number' 'count' 'itemize' 'enumerate' 'recite'],valid
916,env,4,,invalid
917,envelop,5,['enfold' 'enclose' 'envelop' 'enwrap' 'wrap'],valid
918,envelope,3,,invalid
919,envisage,1,['envisage' 'imagine' 'conceive_of' 'ideate'],valid
920,enzymeÃÂÂlinked,6,,invalid
921,eortc,3,,invalid
922,eos,1,,invalid
923,epilepsy,2,,invalid
924,epilepticus,2,,invalid
925,equal,2,['touch' 'equalise' 'be' 'rival' 'equate' 'equal' 'equalize' 'match'],valid
926,equalize,1,['equalise' 'equate' 'get_even' 'equal' 'equalize' 'match'],valid
927,equate,3,"['compare' 'equalise' 'equate' 'correspond' 'liken' 'equal' 'equalize'
 'match']",valid
928,equip,4,['equip' 'fit_out' 'fit' 'outfit'],valid
929,eradicate,5,"['eliminate' 'carry_off' 'annihilate' 'wipe_out' 'exterminate'
 'extinguish' 'decimate' 'extirpate' 'uproot' 'eradicate' 'root_out']",valid
930,ergebnisse,2,,invalid
931,erling,1,,invalid
932,erode,1,['wear_away' 'erode' 'eat_away' 'gnaw' 'gnaw_at' 'fret' 'eat_at'],valid
933,escalate,11,['intensify' 'escalate' 'step_up'],valid
934,escape,71,"['head_for_the_hills' 'break_loose' 'take_to_the_woods' 'hightail_it'
 'miss' 'get_out' 'scarper' 'bunk' 'turn_tail' 'get_off' 'get_away' 'scat'
 'run' 'run_away' 'fly_the_coop' 'lam' 'break_away' 'escape' 'elude'
 'get_by']",valid
935,espases,1,,invalid
936,essential,2,,invalid
937,establish,306,"['instal' 'prove' 'lay_down' 'demonstrate' 'establish' 'shew' 'base'
 'install' 'plant' 'launch' 'build' 'set_up' 'show' 'give' 'constitute'
 'institute' 'make' 'found' 'ground']",valid
938,estimate,544,"['estimate' 'judge' 'approximate' 'figure' 'count_on' 'guess' 'forecast'
 'gauge' 'reckon' 'calculate']",valid
939,etanercept,2,,invalid
940,eua201115,1,,invalid
941,euas,1,,invalid
942,eudract,1,,invalid
943,eular,1,,invalid
944,euthanized,7,,invalid
945,euthyroid,1,,invalid
946,evacuate,2,['empty' 'evacuate' 'void'],valid
947,evade,18,"['skirt' 'hedge' 'bilk' 'evade' 'dodge' 'sidestep' 'circumvent' 'put_off'
 'parry' 'duck' 'elude' 'fudge']",valid
948,evaluate,1268,"['evaluate' 'judge' 'measure' 'assess' 'pass_judgment' 'valuate'
 'appraise' 'value']",valid
949,evaluatedfunding,1,,invalid
950,evaluation,1,,invalid
951,evidence,28,"['evidence' 'show' 'tell' 'attest' 'certify' 'manifest' 'testify' 'prove'
 'bear_witness' 'demonstrate']",valid
952,evidenceÃÂÂbased,1,,invalid
953,evocated,1,,invalid
954,evoke,5,"['suggest' 'extract' 'draw_out' 'kindle' 'invoke' 'educe' 'conjure'
 'elicit' 'evoke' 'kick_up' 'call_down' 'provoke' 'raise' 'stir'
 'enkindle' 'conjure_up' 'bring_up' 'paint_a_picture' 'put_forward'
 'arouse' 'call_forth' 'fire']",valid
955,evolve,66,['develop' 'germinate' 'acquire' 'evolve'],valid
956,exacerbate,10,['exasperate' 'worsen' 'aggravate' 'exacerbate'],valid
957,exaggerate,1,"['overstate' 'hyperbolise' 'overdo' 'overdraw' 'amplify' 'magnify'
 'hyperbolize' 'exaggerate']",valid
958,examine,358,"['canvas' 'analyze' 'see' 'try' 'examine' 'try_out' 'analyse' 'test'
 'essay' 'probe' 'prove' 'canvass' 'study']",valid
959,excavate,1,['hollow' 'dig' 'unearth' 'turn_up' 'dig_up' 'excavate'],valid
960,exceed,57,"['top' 'outgo' 'outperform' 'exceed' 'go_past' 'outdo' 'outmatch'
 'transcend' 'overstep' 'outstrip' 'surpass' 'pass' 'surmount']",valid
961,excel,1,['excel' 'stand_out' 'surpass'],valid
962,excise,2,['strike' 'excise' 'scratch' 'expunge'],valid
963,exclude,240,"['leave_out' 'exclude' 'except' 'leave_off' 'keep_out' 'shut' 'debar'
 'bar' 'boot_out' 'shut_out' 'eject' 'turf_out' 'take_out' 'omit'
 'turn_out' 'chuck_out']",valid
964,execute,7,"['fulfill' 'perform' 'fulfil' 'execute' 'carry_out' 'put_to_death'
 'action' 'run' 'do' 'accomplish' 'carry_through']",valid
965,exemplify,4,['represent' 'illustrate' 'exemplify' 'instance'],valid
966,exercise,3,['exercise' 'work_out' 'work' 'practise' 'do' 'exert' 'drill' 'practice'],valid
967,exert,3,['maintain' 'exercise' 'wield' 'exert'],valid
968,exfoliate,1,['exfoliate'],valid
969,exhaust,4,"['tire' 'beat' 'sap' 'wash_up' 'wipe_out' 'discharge' 'run_through'
 'tucker_out' 'consume' 'tucker' 'eat_up' 'release' 'run_down' 'eat'
 'deplete' 'expel' 'eject' 'use_up' 'exhaust' 'play_out']",valid
970,exhaustedactivated,1,,invalid
971,exhibit,168,"['expose' 'show' 'parade' 'present' 'march' 'exhibit' 'demonstrate' 'demo'
 'display']",valid
972,exist,377,['exist' 'be' 'live' 'survive' 'subsist'],valid
973,expand,95,"['flesh_out' 'exposit' 'thrive' 'inflate' 'elaborate' 'expand' 'flourish'
 'expatiate' 'enlarge' 'blow_up' 'amplify' 'lucubrate' 'spread_out'
 'extend' 'dilate' 'expound' 'boom']",valid
974,expect,202,"['carry' 'anticipate' 'expect' 'have_a_bun_in_the_oven' 'look' 'ask'
 'await' 'wait' 'gestate' 'require' 'bear']",valid
975,expedite,15,['expedite' 'hasten'],valid
976,experience,82,"['see' 'live' 'have' 'receive' 'go_through' 'feel' 'experience' 'get'
 'know']",valid
977,experiment,1,['experiment' 'try_out'],valid
978,expire,4,"['breathe_out' 'expire' 'drop_dead' 'pass' 'die' 'exit'
 ""cash_in_one's_chips"" 'kick_the_bucket' 'pass_away' 'croak' 'go' 'choke'
 'snuff_it' 'buy_the_farm' 'conk' 'exhale' 'give-up_the_ghost' 'decease'
 'run_out' 'perish' 'pop_off']",valid
979,explain,81,['explicate' 'explain' 'excuse'],valid
980,exploit,5,['exploit' 'overwork' 'tap' 'work'],valid
981,explore,139,['explore' 'search' 'research'],valid
982,export,1,['export'],valid
983,expose,203,"['scupper' 'break' 'discover' 'debunk' 'endanger' 'queer' 'uncover'
 'disclose' 'let_out' 'peril' 'reveal' 'exhibit' 'bring_out' 'unwrap'
 'give_away' 'display' 'expose' 'divulge' 'let_on']",valid
984,express,213,"['show' 'evince' 'extract' 'verbalise' 'express' 'convey' 'press_out'
 'utter' 'state' 'carry' 'give_tongue_to' 'verbalize']",valid
985,extend,92,"['cover' 'prolong' 'continue' 'draw_out' 'expand' 'gallop' 'lead' 'pass'
 'protract' 'exsert' 'go' 'poke_out' 'extend' 'widen' 'put_out'
 'reach_out' 'carry' 'stretch_out' 'run' 'stretch' 'broaden'
 'stretch_forth' 'strain' 'offer' 'hold_out' 'unfold']",valid
986,extenuate,1,['mitigate' 'palliate' 'extenuate'],valid
987,extract,81,"['extract' 'evoke' 'distill' 'distil' 'pull_out' 'pull_up' 'draw_out'
 'express' 'press_out' 'take_out' 'educe' 'excerpt' 'pull' 'elicit']",valid
988,extrapolate,9,['extrapolate' 'generalise' 'interpolate' 'infer' 'generalize'],valid
989,extubated,2,,invalid
990,fabricate,1,['manufacture' 'make_up' 'cook_up' 'invent' 'construct' 'fabricate'],valid
991,face,29,['confront' 'front' 'look' 'present' 'face' 'face_up'],valid
992,facilitate,33,['alleviate' 'facilitate' 'help' 'ease'],valid
993,factor,1,['factor_out' 'factor_in' 'factor'],valid
994,factorsfunding,1,,invalid
995,fade,4,"['languish' 'fade' 'melt' 'pass_off' 'evanesce' 'fleet' 'blow_over'
 'wither' 'pass']",valid
996,fahad,1,,invalid
997,fail,82,"['break' 'miscarry' 'bomb' 'go_wrong' 'give_way' 'give_out' 'conk_out'
 'flush_it' 'go_bad' 'flunk' 'betray' 'break_down' 'go' 'neglect'
 'run_out' 'fail' 'die']",valid
998,faint,3,['conk' 'pass_out' 'faint' 'swoon'],valid
999,fall,31,"['decrease' 'return' 'strike' 'pass' 'go_down' 'descend' 'accrue'
 'come_down' 'hang' 'devolve' 'precipitate' 'fall_down' 'lessen' 'fall'
 'come' 'diminish' 'settle' 'shine' 'flow' 'light']",valid
1000,false,1,,invalid
1001,farm,1,['farm' 'raise' 'grow' 'produce'],valid
1002,farrow,6,['pig' 'farrow'],valid
1003,fast,7,['fast'],valid
1004,fatten,1,"['flesh_out' 'fatten' 'plump' 'fatten_up' 'fill_out' 'fat' 'fatten_out'
 'plump_out']",valid
1005,favor,18,['favor' 'privilege' 'favour' 'prefer'],valid
1006,favour,11,['prefer' 'privilege' 'favour' 'favor'],valid
1007,fcr,3,,invalid
1008,fcyriia,1,,invalid
1009,fcÃÂ³riia,2,,invalid
1010,fear,11,['revere' 'venerate' 'dread' 'reverence' 'fear'],valid
1011,feasible,1,,invalid
1012,feature,3,['sport' 'feature' 'boast' 'have'],valid
1013,fecd,1,,invalid
1014,fee,2,['bung' 'tip' 'fee'],valid
1015,feed,12,"['eat' 'give' 'fee' 'feed_in' 'fertilize' 'feed' 'prey' 'flow' 'fertilise'
 'feast' 'tip' 'bung' 'course' 'run']",valid
1016,feel,9,['finger' 'sense' 'palpate' 'feel' 'experience' 'find'],valid
1017,fell,23,"['decrease' 'fell' 'return' 'cut_down' 'strike' 'strike_down' 'pass'
 'go_down' 'descend' 'accrue' 'come_down' 'hang' 'devolve' 'precipitate'
 'fall_down' 'vanish' 'fly' 'lessen' 'fall' 'come' 'diminish' 'settle'
 'shine' 'drop' 'flow' 'light']",valid
1018,felt,6,"['mat' 'felt_up' 'finger' 'matte' 'sense' 'palpate' 'matte_up' 'mat_up'
 'feel' 'experience' 'felt' 'find' 'matt-up']",valid
1019,fence,1,"['contend' 'wall' 'palisade' 'argue' 'surround' 'debate' 'fence_in'
 'fence']",valid
1020,ferment,1,['sour' 'turn' 'ferment' 'work'],valid
1021,fever,1,,invalid
1022,feverishhaving,2,,invalid
1023,fhcrc,1,,invalid
1024,fight,13,"['contend' 'agitate' 'push' 'press' 'crusade' 'fight_back' 'struggle'
 'fight' 'campaign' 'oppose' 'fight_down' 'defend']",valid
